1;The C++ Programming Language;Addison-Wesley;978-0321563842;Bjarne Stroustrup;4;2013
2;Java in a Nutshell;O'Reilly;978-1449370824;Benjamin J. Evans and David Flanagan;6;2015
3;C# in Depth;Manning;978-1617294532;Jon Skeet;4;2018
4;Designing Web APIs;O'Reilly;978-1492026921;Brenda Jin, Saurabh Sahni, and Amir Shevat;1;2018
5;Real World Haskell;O'Reilly;978-0-596-51498-3;Bryan O'Sulivan, John Goerzen & Don Stewart;1;2008
6;Regular Expressions Pocket Primer;Mercury Learning;978-1683922278;O. Campesato;1;2019
7;SQL Antipatterns;The Pragmatic Programmers;978-1934356555;Bill Karwin;4;2014
8;Software Architecture with Python;Packt;978-1786468529;Anand Balachandran Pillai;1;2017
9;Building RESTful Python Web Services;Packt;978-1786462251;Gastón C. Hillar;1;2016
10;Object-Oriented Programming Languages and Event-Driven Programming;Mercury Learning;978-1936420377;Dorian P. Yeager;1;2014
